Source,Target,Weight,Type
SOURCE,10.159.65.141,14,Directed
10.159.65.141,10.159.65.81,8,Directed
10.159.65.81,10.159.67.167,8,Directed
10.159.67.167,10.159.67.178,9,Directed
10.159.67.178,210.65.126.198,8,Directed
210.65.126.198,220.128.24.101,1,Directed
220.128.24.101,211.22.228.209,1,Directed
211.22.228.209,203.66.35.65,1,Directed
203.66.35.65,203.66.35.65,1,Directed
10.159.67.167,10.159.67.177,5,Directed
10.159.67.177,210.65.126.194,5,Directed
210.65.126.194,220.128.14.45,1,Directed
220.128.14.45,211.22.229.213,1,Directed
211.22.229.213,203.69.110.161,2,Directed
203.69.110.161,51.10.1.94,1,Directed
51.10.1.94,104.44.23.161,1,Directed
104.44.23.161,104.44.17.166,1,Directed
104.44.17.166,104.44.20.28,1,Directed
104.44.20.28,4.216.205.136,1,Directed
4.216.205.136,4.216.205.136,1,Directed
10.159.67.178,220.128.8.62,1,Directed
220.128.8.62,220.128.8.37,1,Directed
220.128.8.37,211.22.224.109,1,Directed
211.22.224.109,203.66.32.202,1,Directed
203.66.32.202,203.66.32.202,1,Directed
210.65.126.198,220.128.24.129,1,Directed
220.128.24.129,211.22.228.209,1,Directed
211.22.228.209,203.66.35.71,1,Directed
203.66.35.71,203.66.35.71,1,Directed
10.159.65.141,10.159.65.85,6,Directed
10.159.65.85,10.159.67.167,6,Directed
210.65.126.194,220.128.1.157,1,Directed
220.128.1.157,203.75.72.13,1,Directed
203.75.72.13,203.75.250.225,1,Directed
203.75.250.225,203.69.108.32,1,Directed
203.69.108.32,211.72.255.68,1,Directed
211.72.255.68,211.72.255.68,1,Directed
210.65.126.198,220.128.18.10,1,Directed
220.128.18.10,220.128.20.93,1,Directed
220.128.20.93,211.22.228.141,1,Directed
211.22.228.141,203.66.34.46,1,Directed
203.66.34.46,203.66.34.46,1,Directed
210.65.126.198,220.128.3.129,1,Directed
220.128.3.129,220.128.1.105,1,Directed
220.128.1.105,203.75.230.141,1,Directed
203.75.230.141,192.72.107.54,1,Directed
192.72.107.54,139.175.58.75,1,Directed
139.175.58.75,139.175.57.106,1,Directed
139.175.57.106,192.72.108.162,1,Directed
192.72.108.162,131.125.149.79,1,Directed
131.125.149.79,192.230.121.1,1,Directed
192.230.121.1,192.230.121.1,1,Directed
210.65.126.198,220.128.8.62,1,Directed
220.128.8.62,220.128.8.177,1,Directed
220.128.8.177,211.22.227.221,1,Directed
211.22.227.221,203.66.32.162,1,Directed
203.66.32.162,203.66.32.162,1,Directed
210.65.126.198,220.128.16.101,1,Directed
220.128.16.101,211.22.229.213,1,Directed
203.69.110.161,51.10.0.16,1,Directed
51.10.0.16,13.106.238.163,1,Directed
13.106.238.163,4.189.216.254,1,Directed
4.189.216.254,4.189.216.254,1,Directed
210.65.126.198,203.69.105.153,1,Directed
203.69.105.153,104.18.1.113,1,Directed
104.18.1.113,104.18.1.113,1,Directed
SOURCE,140.123.103.250,177,Directed
140.123.103.250,140.123.9.249,177,Directed
140.123.9.249,140.123.0.246,176,Directed
140.123.0.246,140.130.252.251,171,Directed
140.130.252.251,192.192.61.142,101,Directed
192.192.61.142,192.192.61.9,23,Directed
192.192.61.9,192.192.61.30,20,Directed
192.192.61.30,192.192.61.4,20,Directed
192.192.61.4,192.192.61.209,20,Directed
192.192.61.209,10.96.81.12,33,Directed
140.130.252.251,211.22.226.198,59,Directed
211.22.226.198,220.128.9.174,1,Directed
220.128.9.174,220.128.8.194,1,Directed
220.128.8.194,220.128.9.45,1,Directed
220.128.9.45,211.22.224.109,1,Directed
211.22.224.109,203.66.32.196,1,Directed
203.66.32.196,203.66.32.196,1,Directed
192.192.61.142,192.192.61.37,16,Directed
192.192.61.37,192.192.61.32,16,Directed
192.192.61.32,192.192.61.209,16,Directed
192.192.61.142,192.192.61.20,62,Directed
192.192.61.20,192.192.61.48,44,Directed
192.192.61.48,192.192.68.62,41,Directed
192.192.68.62,203.163.222.39,11,Directed
203.163.222.39,172.65.90.66,1,Directed
172.65.90.66,172.65.90.66,1,Directed
10.96.81.12,10.96.81.12,26,Directed
211.22.226.198,220.128.9.222,2,Directed
220.128.9.222,220.128.5.73,1,Directed
220.128.5.73,220.128.12.218,1,Directed
220.128.12.218,211.22.227.217,2,Directed
211.22.227.217,203.66.32.99,1,Directed
203.66.32.99,203.66.32.99,1,Directed
192.192.68.62,3.169.121.5,1,Directed
3.169.121.5,3.169.121.5,1,Directed
211.22.226.198,220.128.2.225,4,Directed
220.128.2.225,168.95.229.13,1,Directed
168.95.229.13,203.69.108.45,1,Directed
203.69.108.45,210.242.70.113,1,Directed
210.242.70.113,210.242.150.38,1,Directed
210.242.150.38,210.242.150.38,1,Directed
211.22.226.198,220.128.25.21,2,Directed
220.128.25.21,211.22.228.145,2,Directed
211.22.228.145,203.66.35.4,1,Directed
203.66.35.4,203.66.35.4,1,Directed
211.22.226.198,220.128.13.133,1,Directed
220.128.13.133,211.22.224.137,1,Directed
211.22.224.137,203.66.32.129,1,Directed
203.66.32.129,203.66.32.129,1,Directed
211.22.226.198,220.128.26.101,1,Directed
220.128.26.101,211.22.228.209,1,Directed
211.22.228.209,203.66.35.74,1,Directed
203.66.35.74,203.66.35.74,1,Directed
211.22.226.198,220.128.13.13,1,Directed
220.128.13.13,211.22.224.137,1,Directed
211.22.224.137,203.66.32.137,1,Directed
203.66.32.137,203.66.32.137,1,Directed
211.22.226.198,220.128.26.49,2,Directed
220.128.26.49,211.22.229.89,2,Directed
211.22.229.89,203.66.35.98,1,Directed
203.66.35.98,203.66.35.98,1,Directed
211.22.226.198,220.128.8.10,1,Directed
220.128.8.10,220.128.4.193,1,Directed
220.128.4.193,211.22.227.217,1,Directed
211.22.227.217,203.66.32.98,1,Directed
203.66.32.98,203.66.32.98,1,Directed
210.65.126.194,220.128.8.82,2,Directed
220.128.8.82,220.128.8.177,1,Directed
220.128.8.177,211.22.39.249,1,Directed
211.22.39.249,203.75.135.45,2,Directed
203.75.135.45,203.72.244.236,2,Directed
203.72.244.236,203.72.244.50,1,Directed
203.72.244.50,140.115.17.82,1,Directed
140.115.17.82,140.115.17.82,1,Directed
220.128.8.82,220.128.8.93,1,Directed
220.128.8.93,211.22.39.249,1,Directed
203.72.244.236,203.72.244.180,1,Directed
203.72.244.180,140.115.0.177,1,Directed
140.115.0.177,140.115.0.177,1,Directed
210.65.126.198,220.128.25.69,1,Directed
220.128.25.69,211.22.226.13,1,Directed
211.22.226.13,140.116.243.70,1,Directed
140.116.243.70,140.116.229.1,1,Directed
140.116.229.1,140.116.229.1,1,Directed
210.65.126.194,220.128.1.253,1,Directed
220.128.1.253,211.22.226.185,1,Directed
211.22.226.185,192.192.7.158,1,Directed
192.192.7.158,140.122.6.209,1,Directed
140.122.6.209,140.122.6.146,1,Directed
140.122.6.146,140.122.65.38,1,Directed
140.122.65.38,140.122.65.38,1,Directed
