Router List
================================================================================
Total: 334 routers
Generated: 2025-10-23 14:41:32
================================================================================

 102. 139.175.57.61      r57-61.seed.net.tw
 103. 203.66.35.1        203-66-35-1.hinet-ip.hinet.net
 104. 220.128.25.117     220-128-25-117.skc1-3331.hinet.net
 105. 61.60.101.134      61-60-101-134.hinet-ip.hinet.net
 106. 211.22.227.237     211-22-227-237.hinet-ip.hinet.net
 107. 203.66.32.3        203-66-32-3.hinet-ip.hinet.net
 108. 220.128.8.33       220-128-8-33.tpe4-3331.hinet.net
 109. 220.128.8.241      220-128-8-241.tpe4-3331.hinet.net
 110. 203.66.34.33       203-66-34-33.hinet-ip.hinet.net
 111. 168.95.229.13      h13.s229.ts.hinet.net
 112. 203.66.34.37       203-66-34-37.hinet-ip.hinet.net
 113. 203.66.32.198      203-66-32-198.hinet-ip.hinet.net
 114. 203.66.35.78       203-66-35-78.hinet-ip.hinet.net
 115. 210.69.221.61      210-69-221-61.hinet-ip.hinet.net
 116. 210.69.250.98      210-69-250-98.hinet-ip.hinet.net
 117. 210.69.253.202     210-69-253-202.hinet-ip.hinet.net
 118. 140.114.1.69       c7609c-c6509.nthu.edu.tw
 119. 140.115.0.177      mail.ncu.edu.tw
 120. 140.115.17.128     smtp2.cc.ncu.edu.tw
 121. 140.120.3.160      cportal.nchu.edu.tw
 122. 168.95.211.45      h45.s211.ts.hinet.net
 123. 211.22.229.89      211-22-229-89.hinet-ip.hinet.net
 124. 203.66.35.107      203-66-35-107.hinet-ip.hinet.net
 125. 203.66.25.249      customer.wan-port.ar.hinet.net
 126. 219.87.23.191      pl-mailin2-ap.fcb.firstbank.com.tw
 127. 219.87.145.214     219-87-145-214.static.tfn.net.tw
 128. 60.248.209.141     60-248-209-141.hinet-ip.hinet.net
 129. 219.87.145.212     219-87-145-212.static.tfn.net.tw
 130. 211.20.188.70      webmail.pchome.com.tw
 131. 60.199.28.6        60-199-28-6.static.tfn.net.tw
 132. 60.199.28.189      60-199-28-189.static.tfn.net.tw
 133. 60.199.28.46       60-199-28-46.static.tfn.net.tw
 134. 219.87.9.143       219-87-9-143.static.tfn.net.tw
 135. 60.199.47.206      60-199-47-206.static.tfn.net.tw
 136. 219.80.240.66      219-80-240-66.static.tfn.net.tw
 137. 175.99.122.37      175-99-122-37.static.tfn.net.tw
 138. 203.69.138.207     203-69-138-207.hinet-ip.hinet.net
 139. 220.128.9.125      220-128-9-125.tpe4-3332.hinet.net
 140. 168.95.82.225      h225.s82.ts.hinet.net
 141. 118.163.125.85     oa-line.tvbs.com.tw
 142. 220.128.9.241      220-128-9-241.tpe4-3332.hinet.net
 143. 163.29.22.234      163-29-22-234.hinet-ip.hinet.net
 144. 210.69.9.109       210-69-9-109.hinet-ip.hinet.net
 145. 168.95.80.201      h201.s80.ts.hinet.net
 146. 211.22.227.221     211-22-227-221.hinet-ip.hinet.net
 147. 203.66.32.170      203-66-32-170.hinet-ip.hinet.net
 148. 192.72.155.78      h78-192-72-155.seed.net.tw
 149. 192.72.124.101     h101-192-72-124.seed.net.tw
 150. 139.175.58.46      r58-46.seed.net.tw
 151. 60.199.45.10       60-199-45-10.static.tfn.net.tw
 152. 61.31.51.30        61-31-51-30.static.tfn.net.tw
 153. 64.131.64.91       server2.twdomain.com
 154. 211.22.227.225     211-22-227-225.hinet-ip.hinet.net
 155. 203.66.32.75       203-66-32-75.hinet-ip.hinet.net
 156. 203.66.35.11       203-66-35-11.hinet-ip.hinet.net
 157. 168.95.229.105     h105.s229.ts.hinet.net
 158. 60.251.244.98      hqsmtp01.thsrc.com.tw
 159. 175.99.244.18      175-99-244-18.static.tfn.net.tw
 160. 175.98.149.66      175-98-149-66.static.tfn.net.tw
 161. 202.39.144.209     customer.wan-port.ar.hinet.net
 162. 210.242.36.6       210-242-36-6.hinet-ip.hinet.net
 163. 210.241.82.180     210-241-82-180.hinet-ip.hinet.net
 164. 163.29.186.180     163-29-186-180.hinet-ip.hinet.net
 165. 220.128.8.37       220-128-8-37.clpy-3331.hinet.net
 166. 220.128.8.5        220-128-8-5.clpy-3331.hinet.net
 167. 211.22.224.137     211-22-224-137.hinet-ip.hinet.net
 168. 203.66.32.140      203-66-32-140.hinet-ip.hinet.net
 169. 220.128.2.165      220-128-2-165.tpdb-3336.hinet.net
 170. 203.75.72.89       tncd-4901.hinet.net
 171. 220.128.2.193      220-128-2-193.tpdb-3335.hinet.net
 172. 203.75.72.13       tn-cd-c6r1.router.hinet.net
 173. 210.69.8.221       210-69-8-221.hinet-ip.hinet.net
 174. 210.69.210.65      no65.mofa.gov.tw
 175. 210.69.210.1       srv.mofa.gov.tw
 176. 220.128.24.13      220-128-24-13.tncd-3331.hinet.net
 177. 192.72.123.101     h101-192-72-123.seed.net.tw
 178. 139.175.57.106     r57-106.seed.net.tw
 179. 163.29.12.165      163-29-12-165.hinet-ip.hinet.net
 180. 163.29.130.129     smtp.moj.gov.tw
 181. 220.128.2.217      220-128-2-217.tpdb-3335.hinet.net
 182. 211.72.250.1       mx.gov.mailcloud.tw
 183. 220.128.2.197      220-128-2-197.tpdb-3336.hinet.net
 184. 220.128.2.245      220-128-2-245.tpdb-3331.hinet.net
 185. 203.65.99.200      themes.mohw.gov.tw
 186. 163.29.222.121     163-29-222-121.hinet-ip.hinet.net
 187. 210.241.78.100     210-241-78-100.hinet-ip.hinet.net
 188. 210.241.108.197    210-241-108-197.hinet-ip.hinet.net
 189. 163.29.207.130     163-29-207-130.hinet-ip.hinet.net
 190. 163.29.183.213     163-29-183-213.hinet-ip.hinet.net
 191. 60.250.34.230      60-250-34-230.hinet-ip.hinet.net
