========================================================================================================================
ROUTER DISCOVERY SUMMARY REPORT
========================================================================================================================
Report Generated: 2025-10-23 14:40:26
Vantage Point: university
Collection Time: 20251022_102303
Total Routers: 334
Showing: Top 100 routers by appearances
========================================================================================================================

Rank   Hostname                                           IP Address         Appearances  Targets   
87     203-75-188-197.hinet-ip.hinet.net                  203.75.188.197     4            2         
88     203-74-167-1.hinet-ip.hinet.net                    203.74.167.1       4            1         
89     203-75-188-177.hinet-ip.hinet.net                  203.75.188.177     4            2         
90     60-199-5-130.static.tfn.net.tw                     60.199.5.130       4            2         
91     210-69-10-25.hinet-ip.hinet.net                    210.69.10.25       4            2         
92     h96-192-72-124.seed.net.tw                         192.72.124.96      4            3         
93     163-29-22-169.hinet-ip.hinet.net                   163.29.22.169      4            2         
94     163-29-22-253.hinet-ip.hinet.net                   163.29.22.253      4            2         
95     220-128-8-82.tyfo-3031.hinet.net                   220.128.8.82       3            1         
96     211-22-227-217.hinet-ip.hinet.net                  211.22.227.217     3            1         
97     203-66-32-102.hinet-ip.hinet.net                   203.66.32.102      3            1         
98     203-66-32-196.hinet-ip.hinet.net                   203.66.32.196      3            1         
99     203-66-35-70.hinet-ip.hinet.net                    203.66.35.70       3            1         
100    220-128-26-101.tncd-3331.hinet.net                 220.128.26.101     3            2         

========================================================================================================================
