Source,Target,Weight,Type
72.14.196.229,172.253.50.121,1,Directed
172.253.50.121,142.251.77.87,1,Directed
142.251.77.87,142.250.196.206,1,Directed
142.250.196.206,142.250.196.206,1,Directed
192.192.68.62,76.223.84.192,1,Directed
76.223.84.192,76.223.84.192,1,Directed
192.192.68.28,17.1.121.16,1,Directed
17.1.121.16,17.253.144.10,1,Directed
17.253.144.10,17.253.144.10,1,Directed
203.163.222.39,104.16.133.229,1,Directed
104.16.133.229,104.16.133.229,1,Directed
211.22.226.198,220.128.25.249,1,Directed
220.128.25.249,203.74.40.249,1,Directed
203.74.40.249,61.220.0.246,1,Directed
61.220.0.246,168.95.1.1,1,Directed
168.95.1.1,168.95.1.1,1,Directed
211.22.226.198,220.128.25.241,1,Directed
220.128.25.241,203.74.41.245,1,Directed
203.74.41.245,61.220.2.246,1,Directed
61.220.2.246,168.95.192.1,1,Directed
168.95.192.1,168.95.192.1,1,Directed
140.130.252.251,140.123.231.108,1,Directed
140.123.231.108,203.187.6.106,1,Directed
203.187.6.106,203.187.26.93,1,Directed
203.187.26.93,203.187.26.89,1,Directed
203.187.26.89,203.187.26.85,1,Directed
203.187.26.85,203.187.6.173,1,Directed
203.187.6.173,203.187.6.53,1,Directed
203.187.6.53,203.133.1.8,1,Directed
203.133.1.8,203.133.1.8,1,Directed
