Source,Target,Weight,Type
211.73.76.165,211.79.59.14,1,Directed
211.79.59.14,10.42.217.41,1,Directed
10.42.217.41,203.145.221.108,1,Directed
203.145.221.108,203.145.221.108,2,Directed
211.73.76.209,211.73.76.81,1,Directed
211.73.76.81,211.73.76.86,1,Directed
211.73.76.86,211.79.49.82,1,Directed
211.79.49.82,163.13.254.253,1,Directed
163.13.254.253,163.13.240.169,1,Directed
163.13.240.169,163.13.240.169,1,Directed
192.192.68.62,3.169.55.34,1,Directed
3.169.55.34,3.169.55.34,1,Directed
211.73.76.150,211.79.51.74,2,Directed
211.79.51.74,140.135.1.30,2,Directed
140.135.1.30,140.135.201.3,1,Directed
140.135.201.3,140.135.201.3,1,Directed
140.135.1.30,140.135.66.65,1,Directed
140.135.66.65,140.135.66.65,1,Directed
192.192.61.9,192.192.61.22,2,Directed
192.192.61.22,192.192.61.89,2,Directed
192.192.61.89,140.119.243.6,2,Directed
140.119.243.6,140.119.166.199,1,Directed
140.119.166.199,140.119.166.199,1,Directed
140.119.243.6,140.119.168.10,1,Directed
140.119.168.10,140.119.168.10,1,Directed
192.192.61.48,163.28.5.105,1,Directed
163.28.5.105,163.28.5.105,1,Directed
211.22.226.198,220.128.4.225,5,Directed
220.128.4.225,168.95.211.45,2,Directed
168.95.211.45,210.71.212.100,1,Directed
210.71.212.100,210.71.212.100,1,Directed
211.22.226.198,220.128.2.213,1,Directed
220.128.2.213,203.75.188.197,1,Directed
203.75.188.197,210.65.22.37,1,Directed
210.65.22.37,203.66.132.201,1,Directed
203.66.132.201,203.66.132.201,1,Directed
192.192.68.62,192.192.68.28,3,Directed
192.192.68.28,192.192.68.45,2,Directed
192.192.68.45,23.49.116.35,1,Directed
23.49.116.35,23.49.116.35,1,Directed
192.192.61.48,163.28.5.88,1,Directed
163.28.5.88,163.28.5.88,1,Directed
211.22.226.198,220.128.26.57,1,Directed
220.128.26.57,211.22.229.89,1,Directed
211.22.229.89,203.66.35.110,1,Directed
203.66.35.110,203.66.35.110,1,Directed
220.128.2.225,168.95.209.57,1,Directed
168.95.209.57,192.168.252.2,1,Directed
192.168.252.2,203.66.25.249,1,Directed
203.66.25.249,202.39.57.251,1,Directed
202.39.57.251,202.39.57.29,1,Directed
202.39.57.29,202.39.57.29,1,Directed
211.22.226.198,220.128.4.217,3,Directed
220.128.4.217,168.95.208.45,1,Directed
168.95.208.45,202.39.35.201,1,Directed
211.22.226.198,220.128.4.213,1,Directed
220.128.4.213,168.95.209.29,1,Directed
168.95.209.29,61.219.233.144,1,Directed
61.219.233.144,61.219.233.144,1,Directed
140.130.252.251,61.31.254.69,9,Directed
61.31.254.69,60.199.27.121,5,Directed
60.199.27.121,60.199.82.97,3,Directed
60.199.82.97,60.199.47.190,2,Directed
60.199.47.190,219.87.23.191,1,Directed
219.87.23.191,219.87.23.191,1,Directed
192.192.68.62,23.47.105.145,1,Directed
23.47.105.145,23.47.105.145,1,Directed
60.199.47.190,219.87.23.161,1,Directed
219.87.23.161,219.87.23.161,1,Directed
61.31.254.69,60.199.27.161,4,Directed
60.199.27.161,60.199.82.101,3,Directed
60.199.82.101,60.199.82.13,3,Directed
60.199.82.13,60.199.6.194,1,Directed
60.199.6.194,219.80.240.50,1,Directed
219.80.240.50,10.248.219.97,1,Directed
10.248.219.97,192.168.255.228,1,Directed
192.168.255.228,192.168.254.197,1,Directed
192.168.254.197,10.248.219.76,1,Directed
10.248.219.76,175.184.243.207,1,Directed
175.184.243.207,175.184.243.207,1,Directed
211.22.226.198,220.128.4.221,4,Directed
220.128.4.221,168.95.210.29,1,Directed
168.95.210.29,211.75.29.168,1,Directed
211.75.29.168,211.75.29.168,1,Directed
220.128.4.225,168.95.210.29,2,Directed
168.95.210.29,60.251.170.11,1,Directed
60.251.170.11,60.251.170.11,1,Directed
60.199.82.13,60.199.17.230,2,Directed
60.199.17.230,219.87.145.214,1,Directed
219.87.145.214,219.87.145.214,1,Directed
211.22.226.198,220.128.4.17,1,Directed
220.128.4.17,203.75.188.177,1,Directed
203.75.188.177,61.222.116.238,1,Directed
61.222.116.238,61.222.116.238,1,Directed
140.130.252.251,140.123.231.111,2,Directed
140.123.231.111,211.76.96.77,1,Directed
211.76.96.77,203.79.251.102,1,Directed
203.79.251.102,203.79.208.129,2,Directed
203.79.208.129,203.79.208.138,2,Directed
203.79.208.138,124.219.113.65,1,Directed
124.219.113.65,124.219.113.65,1,Directed
192.192.61.9,192.192.61.121,2,Directed
192.192.61.121,140.128.251.245,1,Directed
140.128.251.245,163.28.83.114,1,Directed
163.28.83.114,163.28.83.114,1,Directed
60.199.17.230,175.98.118.170,1,Directed
175.98.118.170,175.98.118.170,1,Directed
220.128.4.221,168.95.83.213,1,Directed
168.95.83.213,59.124.68.60,1,Directed
59.124.68.60,59.124.68.60,1,Directed
211.22.229.89,203.66.35.97,1,Directed
203.66.35.97,203.66.35.97,1,Directed
192.192.68.62,184.104.209.50,1,Directed
184.104.209.50,63.223.9.226,1,Directed
63.223.9.226,63.220.199.107,1,Directed
63.220.199.107,139.175.59.217,1,Directed
139.175.59.217,139.175.58.209,1,Directed
139.175.58.209,139.175.57.218,1,Directed
139.175.57.218,192.72.49.94,1,Directed
192.72.49.94,192.72.155.54,1,Directed
192.72.155.54,220.228.20.162,1,Directed
220.228.20.162,122.147.144.229,1,Directed
122.147.144.229,122.147.144.229,1,Directed
10.96.81.12,163.29.22.234,1,Directed
163.29.22.234,220.128.4.201,1,Directed
220.128.4.201,168.95.211.29,1,Directed
168.95.211.29,210.69.250.130,1,Directed
210.69.250.130,210.69.250.53,1,Directed
210.69.250.53,163.29.183.89,1,Directed
163.29.183.89,163.29.17.173,1,Directed
163.29.17.173,163.29.17.173,1,Directed
211.22.226.198,220.128.9.174,1,Directed
220.128.9.174,220.128.5.73,1,Directed
220.128.5.73,220.128.11.218,1,Directed
220.128.11.218,211.22.227.217,1,Directed
211.22.227.217,203.66.32.106,1,Directed
203.66.32.106,203.66.32.106,1,Directed
168.95.211.45,203.69.62.217,2,Directed
203.69.62.217,203.74.20.151,1,Directed
203.74.20.151,203.74.20.151,1,Directed
220.128.4.221,168.95.211.45,2,Directed
203.69.62.217,203.74.20.154,1,Directed
203.74.20.154,203.74.20.154,1,Directed
168.95.210.29,60.248.149.83,1,Directed
60.248.149.83,60.248.149.83,1,Directed
220.128.8.194,220.128.8.33,1,Directed
220.128.8.33,168.95.80.225,1,Directed
168.95.80.225,61.218.86.236,1,Directed
61.218.86.236,61.218.86.236,1,Directed
220.128.4.217,168.95.209.45,1,Directed
168.95.209.45,210.65.93.5,1,Directed
210.65.93.5,203.66.154.10,1,Directed
203.66.154.10,203.66.154.10,1,Directed
192.192.61.20,192.192.61.184,16,Directed
192.192.61.184,192.192.61.203,16,Directed
192.192.61.203,72.14.196.229,16,Directed
72.14.196.229,34.110.144.106,1,Directed
34.110.144.106,34.110.144.106,1,Directed
72.14.196.229,34.149.253.14,1,Directed
34.149.253.14,34.149.253.14,1,Directed
60.199.27.121,60.199.28.185,2,Directed
60.199.28.185,60.199.28.121,2,Directed
60.199.28.121,60.199.5.130,1,Directed
60.199.5.130,175.99.128.143,1,Directed
175.99.128.143,175.99.128.143,1,Directed
192.192.61.48,163.28.5.201,1,Directed
163.28.5.201,163.28.5.201,1,Directed
60.199.82.97,60.199.47.126,1,Directed
60.199.47.126,219.80.114.250,1,Directed
219.80.114.250,10.100.159.225,1,Directed
10.100.159.225,10.100.159.209,1,Directed
10.100.159.209,10.100.59.17,1,Directed
10.100.59.17,10.59.242.142,1,Directed
10.59.242.142,10.59.250.5,1,Directed
10.59.250.5,103.117.4.112,1,Directed
103.117.4.112,103.117.4.112,1,Directed
210.176.44.177,202.84.137.254,2,Directed
202.84.137.254,202.84.141.109,1,Directed
202.84.141.109,202.84.207.182,3,Directed
202.84.207.182,210.57.38.175,1,Directed
210.57.38.175,143.92.108.196,1,Directed
143.92.108.196,143.92.119.220,1,Directed
143.92.119.220,143.92.119.227,1,Directed
143.92.119.227,147.136.172.142,1,Directed
147.136.172.142,147.136.172.142,1,Directed
203.163.222.39,104.18.11.27,1,Directed
104.18.11.27,104.18.11.27,1,Directed
192.192.68.62,104.18.10.27,1,Directed
104.18.10.27,104.18.10.27,1,Directed
203.163.222.39,104.18.9.226,1,Directed
104.18.9.226,104.18.9.226,1,Directed
203.163.222.15,104.44.51.226,3,Directed
104.44.51.226,13.106.238.151,2,Directed
13.106.238.151,168.63.250.12,1,Directed
168.63.250.12,168.63.250.12,1,Directed
139.175.57.63,139.175.56.142,1,Directed
139.175.56.142,192.72.107.190,1,Directed
192.72.107.190,220.228.20.154,1,Directed
220.228.20.154,218.211.34.44,1,Directed
218.211.34.44,218.211.34.44,1,Directed
72.14.196.229,34.36.92.153,1,Directed
34.36.92.153,34.36.92.153,1,Directed
192.192.61.48,163.28.5.9,1,Directed
163.28.5.9,163.28.5.9,1,Directed
192.192.68.62,65.49.108.1,1,Directed
65.49.108.1,206.126.237.61,1,Directed
206.126.237.61,168.245.69.1,1,Directed
168.245.69.1,168.245.69.1,1,Directed
192.192.61.81,140.112.0.69,1,Directed
140.112.0.69,10.199.199.2,1,Directed
10.199.199.2,140.112.0.201,1,Directed
140.112.0.201,140.112.0.173,1,Directed
140.112.0.173,140.112.172.3,1,Directed
140.112.172.3,140.112.172.3,1,Directed
192.192.68.62,104.21.30.106,1,Directed
104.21.30.106,104.21.30.106,1,Directed
203.163.222.39,104.19.247.7,1,Directed
104.19.247.7,104.19.247.7,1,Directed
203.163.222.39,104.19.248.7,1,Directed
104.19.248.7,104.19.248.7,1,Directed
72.14.196.229,34.110.180.34,1,Directed
34.110.180.34,34.110.180.34,1,Directed
203.163.222.39,104.18.2.197,1,Directed
104.18.2.197,104.18.2.197,1,Directed
72.14.196.229,209.85.254.217,2,Directed
209.85.254.217,209.85.242.125,1,Directed
209.85.242.125,142.250.198.83,1,Directed
142.250.198.83,142.250.198.83,1,Directed
192.192.68.62,3.169.55.13,1,Directed
3.169.55.13,3.169.55.13,1,Directed
192.192.68.45,184.84.196.184,1,Directed
184.84.196.184,184.84.196.184,1,Directed
72.14.196.229,35.244.236.6,1,Directed
35.244.236.6,35.244.236.6,1,Directed
203.163.222.39,172.66.140.98,1,Directed
172.66.140.98,172.66.140.98,1,Directed
192.192.68.62,3.169.137.51,1,Directed
3.169.137.51,3.169.137.51,1,Directed
220.128.9.222,220.128.9.89,1,Directed
220.128.9.89,203.69.140.17,1,Directed
203.69.140.17,203.69.138.215,1,Directed
203.69.138.215,203.69.138.215,1,Directed
104.44.51.226,104.44.23.163,1,Directed
104.44.23.163,104.44.53.209,1,Directed
104.44.53.209,104.44.48.18,1,Directed
104.44.48.18,40.104.21.34,1,Directed
40.104.21.34,40.104.21.34,1,Directed
192.192.68.62,3.169.137.84,1,Directed
3.169.137.84,3.169.137.84,1,Directed
192.192.68.62,3.5.159.3,1,Directed
3.5.159.3,3.5.159.3,1,Directed
202.84.157.37,3.175.207.74,1,Directed
3.175.207.74,3.175.207.74,1,Directed
203.163.222.39,104.18.27.53,1,Directed
104.18.27.53,104.18.27.53,1,Directed
203.163.222.39,104.18.26.53,1,Directed
104.18.26.53,104.18.26.53,1,Directed
203.163.222.15,104.44.51.234,1,Directed
104.44.51.234,40.104.20.50,1,Directed
40.104.20.50,40.104.20.50,1,Directed
72.14.196.229,34.96.73.68,1,Directed
34.96.73.68,34.96.73.68,1,Directed
72.14.196.229,34.160.71.205,1,Directed
34.160.71.205,34.160.71.205,1,Directed
202.84.137.254,202.84.153.26,1,Directed
202.84.153.26,13.35.185.8,1,Directed
13.35.185.8,13.35.185.8,1,Directed
72.14.196.229,72.14.233.233,2,Directed
72.14.233.233,142.251.77.85,2,Directed
142.251.77.85,142.250.196.211,2,Directed
142.250.196.211,142.250.196.211,2,Directed
72.14.196.229,34.54.142.250,1,Directed
34.54.142.250,34.54.142.250,1,Directed
211.22.226.198,220.128.24.129,1,Directed
220.128.24.129,211.22.228.209,1,Directed
211.22.228.209,203.66.35.72,1,Directed
203.66.35.72,203.66.35.72,1,Directed
192.192.68.62,3.169.137.23,1,Directed
3.169.137.23,3.169.137.23,1,Directed
192.192.61.20,192.192.61.66,3,Directed
192.192.61.66,192.192.68.30,3,Directed
192.192.68.30,203.79.254.53,1,Directed
203.79.254.53,211.76.96.66,1,Directed
211.76.96.66,139.175.58.130,1,Directed
139.175.58.130,192.72.124.56,1,Directed
192.72.124.56,192.72.155.194,1,Directed
192.72.155.194,10.65.29.18,1,Directed
10.65.29.18,10.1.255.69,1,Directed
10.1.255.69,10.1.255.70,1,Directed
60.199.28.121,60.199.14.10,1,Directed
60.199.14.10,219.80.116.246,1,Directed
219.80.116.246,124.29.143.81,1,Directed
211.22.226.198,220.128.2.129,1,Directed
220.128.2.129,203.75.229.113,1,Directed
203.75.229.113,103.123.253.13,1,Directed
103.123.253.13,113.21.86.217,1,Directed
113.21.86.217,113.21.86.218,1,Directed
113.21.86.218,202.55.247.128,1,Directed
202.55.247.128,202.55.247.128,1,Directed
192.192.68.62,203.163.222.6,1,Directed
203.163.222.6,103.123.253.133,1,Directed
103.123.253.133,223.26.64.141,1,Directed
223.26.64.141,113.21.84.113,1,Directed
113.21.84.113,113.21.84.114,1,Directed
113.21.84.114,219.84.176.118,1,Directed
219.84.176.118,61.64.127.249,1,Directed
61.64.127.249,61.64.127.249,1,Directed
61.64.127.249,61.64.127.28,1,Directed
61.64.127.28,61.64.127.28,1,Directed
192.192.68.62,184.104.194.21,1,Directed
184.104.194.21,31.31.38.237,1,Directed
31.31.38.237,173.208.126.13,1,Directed
173.208.126.13,64.131.64.91,1,Directed
64.131.64.91,64.131.64.91,1,Directed
203.163.222.39,104.18.10.246,1,Directed
104.18.10.246,104.18.10.246,1,Directed
220.128.2.225,168.95.81.233,1,Directed
168.95.81.233,192.168.250.2,1,Directed
192.168.250.2,60.251.96.54,1,Directed
60.251.96.54,60.251.96.54,1,Directed
211.22.226.198,220.128.2.5,2,Directed
220.128.2.5,168.95.80.233,1,Directed
168.95.80.233,192.168.250.2,1,Directed
192.168.250.2,60.251.96.49,1,Directed
60.251.96.49,60.251.96.49,1,Directed
220.128.9.58,220.128.9.241,1,Directed
220.128.9.241,168.95.82.229,1,Directed
168.95.82.229,60.250.172.182,1,Directed
60.250.172.182,60.250.172.182,1,Directed
192.192.68.62,3.169.36.64,1,Directed
3.169.36.64,3.169.36.64,1,Directed
220.128.9.58,220.128.9.93,1,Directed
220.128.9.93,168.95.228.97,2,Directed
168.95.228.97,59.124.150.67,1,Directed
59.124.150.67,59.124.150.67,1,Directed
211.22.226.198,220.128.9.62,2,Directed
220.128.9.62,220.128.9.93,1,Directed
168.95.228.97,59.124.150.68,1,Directed
59.124.150.68,59.124.150.68,1,Directed
211.22.226.198,220.128.25.117,1,Directed
220.128.25.117,168.95.208.221,1,Directed
168.95.208.221,61.221.186.21,1,Directed
61.221.186.21,61.221.186.21,1,Directed
211.73.76.209,211.73.76.218,1,Directed
211.73.76.218,211.79.58.62,1,Directed
211.79.58.62,203.68.96.125,1,Directed
203.68.96.125,10.10.10.246,1,Directed
