Source,Target,Weight,Type
SOURCE,10.159.65.141,38,Directed
10.159.65.141,10.159.65.81,20,Directed
10.159.65.81,10.159.67.167,20,Directed
10.159.67.167,10.159.67.178,20,Directed
10.159.67.178,210.65.126.198,20,Directed
210.65.126.198,220.128.25.69,1,Directed
220.128.25.69,211.22.226.13,1,Directed
211.22.226.13,140.116.243.178,1,Directed
140.116.243.178,140.116.229.1,1,Directed
140.116.229.1,140.116.229.1,1,Directed
10.159.65.141,10.159.65.85,18,Directed
10.159.65.85,10.159.67.167,18,Directed
210.65.126.198,220.128.9.62,1,Directed
220.128.9.62,220.128.8.149,1,Directed
220.128.8.149,211.22.39.249,1,Directed
211.22.39.249,203.75.135.45,1,Directed
203.75.135.45,203.71.2.162,1,Directed
203.71.2.162,140.135.1.30,1,Directed
140.135.1.30,140.135.201.3,1,Directed
140.135.201.3,140.135.201.3,1,Directed
10.159.67.167,10.159.67.177,18,Directed
10.159.67.177,210.65.126.194,17,Directed
210.65.126.194,220.128.9.62,2,Directed
220.128.9.62,220.128.9.185,1,Directed
220.128.9.185,192.192.61.71,1,Directed
192.192.61.71,192.192.61.89,1,Directed
192.192.61.89,140.119.243.6,1,Directed
140.119.243.6,140.119.166.199,1,Directed
140.119.166.199,140.119.166.199,1,Directed
210.65.126.194,220.128.2.5,1,Directed
220.128.2.5,203.75.188.193,1,Directed
203.75.188.193,210.65.22.37,1,Directed
210.65.22.37,203.66.132.201,1,Directed
203.66.132.201,203.66.132.201,1,Directed
210.65.126.198,220.128.4.177,1,Directed
220.128.4.177,202.39.35.201,1,Directed
210.65.126.198,220.128.2.105,1,Directed
220.128.2.105,203.75.230.105,1,Directed
203.75.230.105,192.72.107.53,2,Directed
192.72.107.53,139.175.59.209,2,Directed
139.175.59.209,139.175.57.186,1,Directed
139.175.57.186,192.72.107.190,1,Directed
192.72.107.190,220.228.20.74,1,Directed
220.228.20.74,61.67.3.242,1,Directed
61.67.3.242,61.67.7.205,1,Directed
61.67.7.205,61.67.7.205,1,Directed
210.65.126.198,220.128.2.125,1,Directed
220.128.2.125,203.75.230.105,1,Directed
139.175.59.209,139.175.58.146,1,Directed
139.175.58.146,192.72.216.70,1,Directed
192.72.216.70,220.228.20.150,1,Directed
220.228.20.150,218.211.34.82,1,Directed
218.211.34.82,218.211.34.82,1,Directed
210.65.126.198,220.128.2.225,1,Directed
220.128.2.225,203.75.188.181,1,Directed
203.75.188.181,61.222.116.238,1,Directed
61.222.116.238,61.222.116.238,1,Directed
210.65.126.198,220.128.13.189,1,Directed
220.128.13.189,34.110.144.106,1,Directed
34.110.144.106,34.110.144.106,1,Directed
210.65.126.194,220.128.12.57,1,Directed
220.128.12.57,72.14.202.34,1,Directed
72.14.202.34,192.178.108.145,1,Directed
192.178.108.145,142.251.77.85,1,Directed
142.251.77.85,34.149.253.14,1,Directed
34.149.253.14,34.149.253.14,1,Directed
10.159.67.177,220.128.2.93,1,Directed
220.128.2.93,220.128.1.125,1,Directed
220.128.1.125,203.75.230.109,2,Directed
203.75.230.109,60.199.3.57,2,Directed
60.199.3.57,60.199.6.98,2,Directed
60.199.6.98,60.199.82.13,2,Directed
60.199.82.13,60.199.3.194,1,Directed
60.199.3.194,60.199.16.109,1,Directed
60.199.16.109,60.199.5.130,1,Directed
60.199.5.130,219.87.1.142,1,Directed
219.87.1.142,219.87.1.142,1,Directed
210.65.126.194,220.128.3.69,1,Directed
220.128.3.69,220.128.1.105,1,Directed
220.128.1.105,210.242.214.97,1,Directed
210.242.214.97,60.199.18.229,1,Directed
60.199.18.229,60.199.6.98,1,Directed
60.199.6.98,60.199.47.206,1,Directed
60.199.47.206,219.80.240.66,1,Directed
219.80.240.66,103.127.231.0,1,Directed
103.127.231.0,103.127.231.0,1,Directed
210.65.126.198,203.69.105.153,2,Directed
203.69.105.153,104.18.11.27,1,Directed
104.18.11.27,104.18.11.27,1,Directed
210.65.126.194,203.69.105.145,2,Directed
203.69.105.145,104.18.9.226,1,Directed
104.18.9.226,104.18.9.226,1,Directed
210.65.126.198,220.128.1.157,1,Directed
220.128.1.157,203.75.72.9,1,Directed
203.75.72.9,203.75.250.129,1,Directed
203.75.250.129,104.44.51.222,1,Directed
104.44.51.222,13.106.238.145,1,Directed
13.106.238.145,168.63.250.12,1,Directed
168.63.250.12,168.63.250.12,1,Directed
210.65.126.194,220.128.12.17,1,Directed
220.128.12.17,34.36.92.153,1,Directed
34.36.92.153,34.36.92.153,1,Directed
210.65.126.194,220.128.4.213,1,Directed
220.128.4.213,211.22.226.201,1,Directed
211.22.226.201,140.112.0.201,1,Directed
140.112.0.201,140.112.0.213,1,Directed
140.112.0.213,140.112.172.5,1,Directed
140.112.172.5,140.112.172.5,1,Directed
203.69.105.145,104.19.248.7,1,Directed
104.19.248.7,104.19.248.7,1,Directed
203.69.105.153,104.18.3.197,1,Directed
104.18.3.197,104.18.3.197,1,Directed
210.65.126.194,220.128.1.197,1,Directed
220.128.1.197,211.72.255.253,1,Directed
211.72.255.253,23.42.102.253,1,Directed
23.42.102.253,23.42.102.253,1,Directed
210.65.126.198,220.128.8.82,2,Directed
220.128.8.82,220.128.8.189,1,Directed
220.128.8.189,72.14.209.178,1,Directed
72.14.209.178,35.244.236.6,1,Directed
35.244.236.6,35.244.236.6,1,Directed
210.65.126.198,220.128.12.161,1,Directed
